period,number,zodiac
51,1,马
52,38,蛇
53,15,龙
54,48,羊
55,14,蛇
56,48,羊
57,23,猴
58,31,鼠
59,10,鸡
60,9,狗
61,29,虎
62,24,羊
63,28,兔
64,18,牛
65,5,虎
66,37,马
67,5,虎
68,23,猴
69,24,羊
70,25,马
71,48,羊
72,46,鸡
73,34,鸡
74,10,鸡
75,33,狗
76,2,蛇
77,29,虎
78,46,鸡
79,35,猴
80,3,龙
81,17,虎
82,27,龙
83,5,虎
84,16,兔
85,19,鼠
86,12,羊
87,26,蛇
88,27,龙
89,49,马
90,36,羊
91,37,马
92,6,牛
93,40,兔
94,17,虎
95,35,猴
96,43,鼠
97,11,猴
98,17,虎
99,12,羊
100,33,狗
101,39,龙
102,20,猪
103,6,牛
104,1,马
105,28,兔
106,22,鸡
107,49,马
108,45,狗
109,16,兔
110,30,牛
111,1,马
112,9,狗
113,2,蛇
114,30,牛
115,4,兔
116,22,鸡
117,16,兔
118,8,猪
119,11,猴
120,6,牛
121,44,猪
122,1,马
123,46,鸡
124,39,龙
125,31,鼠
126,49,马
127,45,狗
128,37,马
129,41,虎
130,29,虎
131,7,鼠
132,30,牛
133,7,鼠
134,37,马
135,30,牛
136,48,羊
137,26,蛇
138,49,马
139,24,羊
140,16,兔
141,33,狗
142,23,猴
143,44,猪
144,43,鼠
145,5,虎
146,42,羊
147,13,马
148,48,羊
149,27,龙
150,9,狗
151,31,鼠
152,45,狗
153,41,虎
154,41,虎
155,7,鼠
156,1,马
157,40,兔
158,16,兔
159,39,龙
160,2,蛇
161,8,猪
162,32,猪
163,37,马
164,21,鸡
165,3,龙
166,6,牛
167,19,鼠
168,15,龙
169,24,羊
170,3,龙
171,28,兔
172,44,猪
173,26,蛇
174,41,虎
175,26,蛇
176,10,鸡
177,14,蛇
178,18,牛
179,15,龙
180,21,鸡
181,19,鼠
182,41,虎
183,24,羊
184,1,马
185,36,羊
186,23,猴
187,1,马
188,16,兔
189,15,龙
190,16,兔
191,29,虎
192,25,马
